Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,Constituency,Constituency number
SUBHASH CHANDRA DUBEY,Rashtriya Jantantrik Bharat Vikas Party,787,0,787,0.35,Chillupar,328
SURAJ KUMAR,Aam Aadmi Party,799,1,800,0.35,Chillupar,328
NOTA,None of the Above,1951,2,1953,0.86,Chillupar,328
ANIL KUMAR ANIL PRADHAN,Samajwadi Party,103887,884,104771,43.23,Chitrakoot,236
AMIT YADAV,Communist Party of India,2147,4,2151,0.89,Chitrakoot,236
CHANDRIKA PRASAD UPADHYAY,Bharatiya Janata Party,83593,302,83895,34.62,Chitrakoot,236
NIRMALA,Indian National Congress,2145,3,2148,0.89,Chitrakoot,236
PUSHPENDRA SINGH,Bahujan Samaj Party,38563,148,38711,15.97,Chitrakoot,236
AVINASH CHANDRA TRIPATHI,Jan Adhikar Party,2408,12,2420,1,Chitrakoot,236
RAMBHAROSA,Bundelkhand Kranti Dal,1746,2,1748,0.72,Chitrakoot,236
SHIVSHARAN,Ambedkar Samaj Party,655,0,655,0.27,Chitrakoot,236
SANTOSHILAL alias PINTU,Aam Aadmi Party,1077,0,1077,0.44,Chitrakoot,236
HRIDAYESH KUMAR VERMA,Independent,1488,3,1491,0.62,Chitrakoot,236
NOTA,None of the Above,3286,4,3290,1.36,Chitrakoot,236
ANURAG SINGH,Bharatiya Janata Party,110708,272,110980,50.26,Chunar,398
VIJAY KUMAR ALIAS A.V.BHAIYA,Bahujan Samaj Party,29303,86,29389,13.31,Chunar,398
SEEMA DEVI,Indian National Congress,4150,14,4164,1.89,Chunar,398
ANWAR ALI,Jan Adhikar Party,1335,3,1338,0.61,Chunar,398
AMIT KUMAR SINGH,Vikassheel Insaan Party,2778,4,2782,1.26,Chunar,398
RAMASHANKAR PRASAD SINGH,Apna Dal (Kamerawadi),62708,658,63366,28.7,Chunar,398
SATYENDER KUMAR ALIAS SATYENDER SINGH,Aam Aadmi Party,1360,12,1372,0.62,Chunar,398
SADANAND ALIAS SATANAND VISHWAKARAMA,Moulik Adhikar Party,1392,1,1393,0.63,Chunar,398
SANJAY ALIAS SANJAY SINGH PATEL,Janata Dal  (United),804,4,808,0.37,Chunar,398
DINESH ALIAS DINESH PRAKASH SINGH,Independent,1308,2,1310,0.59,Chunar,398
NOTA,None of the Above,3917,4,3921,1.78,Chunar,398
AJAY,Bharatiya Janata Party,107886,223,108109,55.8,Colonelganj,298
TRILOKI NATH TIWARI,Indian National Congress,3750,6,3756,1.94,Colonelganj,298
YOGESH PRATAP SINGH URF YOGESH BHAIYA,Samajwadi Party,72251,386,72637,37.49,Colonelganj,298
Ranjeet,Bahujan Samaj Party,3753,11,3764,1.94,Colonelganj,298
RAM KRIPAL,Jan Adhikar Party,444,0,444,0.23,Colonelganj,298
VISHAL SINGH,Aam Aadmi Party,467,1,468,0.24,Colonelganj,298
ARUN KUMAR SINGH,Independent,283,1,284,0.15,Colonelganj,298
ASHOK SINGH,Independent,585,0,585,0.3,Colonelganj,298
OM PRAKASH,Independent,678,0,678,0.35,Colonelganj,298
NAND KUMAR URF MAGAN KUMAR SINGH,Independent,637,0,637,0.33,Colonelganj,298
NOTA,None of the Above,2399,0,2399,1.24,Colonelganj,298
Chandraketu Maurya,Bahujan Samaj Party,21636,35,21671,9.67,Dadraul,136
Tanveer Khan,Indian National Congress,1436,0,1436,0.64,Dadraul,136
MANVENDRA SINGH,Bharatiya Janata Party,100800,157,100957,45.06,Dadraul,136
Rajesh Kumar Verma,Samajwadi Party,90986,270,91256,40.73,Dadraul,136
Jitendra Pal Singh,Lok Janshakti Party(Ram Vilas),668,0,668,0.3,Dadraul,136
Nirmala Gupta,Shiv Sena,317,0,317,0.14,Dadraul,136
Pradeep Kumar Singh,Jan Adhikar Party,735,0,735,0.33,Dadraul,136
Pradeep Singh,Rashtriya Samaj Paksha,246,0,246,0.11,Dadraul,136
MUKESH,Rashtriya mahan Gantantra Party,373,1,374,0.17,Dadraul,136
Rajeev Singh,Aam Aadmi Party,714,2,716,0.32,Dadraul,136
Surpati,Voters Party  International,780,1,781,0.35,Dadraul,136
Akhilesh Kumar,Independent,2013,1,2014,0.9,Dadraul,136
Anil Kumar Bharti,Independent,1470,0,1470,0.66,Dadraul,136
RAM RAHISH,Independent,420,1,421,0.19,Dadraul,136
NOTA,None of the Above,992,1,993,0.44,Dadraul,136
TEJPAL SINGH NAGAR,Bharatiya Janata Party,217618,450,218068,61.64,Dadri,62
DEEPAK KUMAR BHATI CHOTIWALA,Indian National Congress,5385,7,5392,1.52,Dadri,62
MANBIR SINGH,Bahujan Samaj Party,40388,68,40456,11.44,Dadri,62
RAJKUMAR BHATI,Samajwadi Party,79660,190,79850,22.57,Dadri,62
CHAMAN SINGH,Mihir Sena,730,0,730,0.21,Dadri,62
JAGDISH SINGH,Sarv Samaj Party,173,0,173,0.05,Dadri,62
RAGHWENDRA  KUMAR SRIVASTAVA,Subhashwadi Bhartiya Samajwadi Party (Subhas Party),161,0,161,0.05,Dadri,62
VINAY NAGAR,Bahujan Andolan Party,143,1,144,0.04,Dadri,62
SANJAY,Aam Aadmi Party,4613,7,4620,1.31,Dadri,62
HEMANT SHARMA,Shiv Sena,300,0,300,0.08,Dadri,62
ANNU KHAN,Independent,287,0,287,0.08,Dadri,62
AMIT BASOYA,Independent,441,1,442,0.12,Dadri,62
TRILOCHAN NARAYAN SINGH,Independent,565,0,565,0.16,Dadri,62
SANJAY KUMAR SHARMA,Independent,556,0,556,0.16,Dadri,62
NOTA,None of the Above,2029,4,2033,0.57,Dadri,62
Arvind Kumar Singh Gope,Samajwadi Party,95366,451,95817,35.03,Dariyabad,270
Chitra Verma,Indian National Congress,2296,5,2301,0.84,Dariyabad,270
Jagprasad Rawat,Bahujan Samaj Party,28288,73,28361,10.37,Dariyabad,270
Satish Chandra Sharma,Bharatiya Janata Party,127983,236,128219,46.87,Dariyabad,270
Kunwar Mukesh Pratap Singh,Aam Aadmi Party,2002,0,2002,0.73,Dariyabad,270
Gopi Chandra,Aazad Samaj Party (Kanshi Ram),919,0,919,0.34,Dariyabad,270
Deepak Rajput,Sabka Dal United,719,0,719,0.26,Dariyabad,270
Mubashshir Ahmad,All India Majlis-E-Ittehadul Muslimeen,2637,5,2642,0.97,Dariyabad,270
Ram Ji Tiwari,Rashtrawadi Kisan Kranti Dal,836,0,836,0.31,Dariyabad,270
Ritesh Kumar Singh,Independent,9337,41,9378,3.43,Dariyabad,270
NOTA,None of the Above,2363,0,2363,0.86,Dariyabad,270
ARJUN SINGH,Samajwadi Party,97988,127,98115,41.35,Dataganj,117
ATIF KHAN,Indian National Congress,2409,4,2413,1.02,Dataganj,117
RACHIT GUPTA,Bahujan Samaj Party,20554,17,20571,8.67,Dataganj,117
RAJEEV SINGH  URF BABBU BHAIYA,Bharatiya Janata Party,107457,134,107591,45.34,Dataganj,117
OMVEER,Vikassheel Insaan Party,1124,0,1124,0.47,Dataganj,117
KIRPA SHANKAR,Bahujan Mukti Party,326,0,326,0.14,Dataganj,117
GANESH,Jan Adhikar Party,1550,1,1551,0.65,Dataganj,117
DHEERPAL KASHYAP,Aam Aadmi Party,278,3,281,0.12,Dataganj,117
BRAJPAL SINGH,Jan Seva Sahayak Party,240,3,243,0.1,Dataganj,117
MUNNA LAL,Rashtra Uday Party,798,0,798,0.34,Dataganj,117
RAGHUNANDAN,Bharatiya Subhash Sena,420,0,420,0.18,Dataganj,117
RAJEEV KUMAR,Garib Berozgar Vikas Party,1075,1,1076,0.45,Dataganj,117
RAJEEV PAL,Rashtriya Samaj Paksha,854,1,855,0.36,Dataganj,117
SUBHASH CHANDRA YADAV,Rashtriya Parivartan Dal,476,1,477,0.2,Dataganj,117
NOTA,None of the Above,1462,1,1463,0.62,Dataganj,117
KARAN PAL SINGH,Bahujan Samaj Party,24402,114,24516,11.17,Debai,68
CHANDRAPAL SINGH,Bharatiya Janata Party,128214,426,128640,58.6,Debai,68
SUNITA DEVI,Indian National Congress,1944,3,1947,0.89,Debai,68
HARISH KUMAR,Samajwadi Party,60293,322,60615,27.61,Debai,68
MANOJ,Aam Aadmi Party,1029,3,1032,0.47,Debai,68
MUKESH KUMAR,Independent,583,0,583,0.27,Debai,68
RAJPAL SINGH,Independent,968,0,968,0.44,Debai,68
NOTA,None of the Above,1217,1,1218,0.55,Debai,68
Kartikey Rana,Samajwadi Party,86511,275,86786,35.83,Deoband,5
BRIJESH,Bharatiya Janata Party,93478,412,93890,38.77,Deoband,5
CHOUDHARY RAJENDRA SINGH,Bahujan Samaj Party,52526,206,52732,21.77,Deoband,5
RAHAT KHALIL,Indian National Congress,1095,1,1096,0.45,Deoband,5
UMAIR MADANI,All India Majlis-E-Ittehadul Muslimeen,3500,1,3501,1.45,Deoband,5
JAHEER,Jansatta Party,264,0,264,0.11,Deoband,5
NAUSHAD,Sanyukt Vikas Party,488,0,488,0.2,Deoband,5
PRAVEEN KUMAR DHIMAN,Aam Aadmi Party,241,2,243,0.1,Deoband,5
YOGESH PRATAP SINGH,Aazad Samaj Party (Kanshi Ram),1844,4,1848,0.76,Deoband,5
VIJENDRA,Independent,616,0,616,0.25,Deoband,5
NOTA,None of the Above,727,2,729,0.3,Deoband,5
Ajay Pratap Singh Alias Pintu,Samajwadi Party,64894,1152,66046,33.13,Deoria,337
PUROOSHOTTAM  NARAIN SINGH,Indian National Congress,2677,31,2708,1.36,Deoria,337
Ramsaran,Bahujan Samaj Party,17774,119,17893,8.98,Deoria,337
SHALABH MANI TRIPATHI,Bharatiya Janata Party,105892,809,106701,53.52,Deoria,337
Sanjay Kumar Dubey,Communist Party of India,1492,2,1494,0.75,Deoria,337
Omprakash Chaurasia,Rashtriya Bhagidari Party,281,5,286,0.14,Deoria,337
Rajnikant Srivastava,Rashtravadi Vikas Party,262,1,263,0.13,Deoria,337
RAJU CHAUHAN,Moderate Party,447,0,447,0.22,Deoria,337
Virendra Jaiswal,Jan Adhikar Party,750,3,753,0.38,Deoria,337
Sanjay Srivastav,Bhartiya  Sarvjan Party,408,3,411,0.21,Deoria,337
Harinarayan Chauhan,Aam Aadmi Party,525,4,529,0.27,Deoria,337
Vijay Juaatha,Independent,536,0,536,0.27,Deoria,337
NOTA,None of the Above,1266,19,1285,0.64,Deoria,337
ASHOK KUMAR RANA,Bharatiya Janata Party,81194,597,81791,39.89,Dhampur,20
NAIM UL HASAN,Samajwadi Party,81310,278,81588,39.79,Dhampur,20
THAKUR MOOLCHAND CHAUHAN,Bahujan Samaj Party,38735,258,38993,19.01,Dhampur,20
HUSSAIN AHMAD,Indian National Congress,788,2,790,0.39,Dhampur,20
ARUN KUMAR GAHLOT,Aam Aadmi Party,189,2,191,0.09,Dhampur,20
MEETAN,Pichhra Samaj Party,306,0,306,0.15,Dhampur,20
VIVEK KUMAR,Aazad Samaj Party (Kanshi Ram),571,3,574,0.28,Dhampur,20
NOTA,None of the Above,830,4,834,0.41,Dhampur,20
RAJEEV KUMAR,Bharatiya Janata Party,102505,549,103054,42.29,Dhanaura,39
VIVEK SINGH,Samajwadi Party,91065,564,91629,37.6,Dhanaura,39
SAMAR PAL SINGH,Indian National Congress,1376,9,1385,0.57,Dhanaura,39
HARPAL SINGH,Bahujan Samaj Party,43760,214,43974,18.04,Dhanaura,39
GITA RANI,All India Majlis-E-Ittehadul Muslimeen,938,3,941,0.39,Dhanaura,39
MAHESH,Bahujan Mukti Party,205,0,205,0.08,Dhanaura,39
JASWANT SINGH,Independent,362,0,362,0.15,Dhanaura,39
PRAMOD KUMAR,Independent,267,1,268,0.11,Dhanaura,39
RAJENDRI URF UMA DEVI,Independent,190,0,190,0.08,Dhanaura,39
SUSHEEL KUMAR MAURYA,Independent,512,1,513,0.21,Dhanaura,39
NOTA,None of the Above,1171,5,1176,0.48,Dhanaura,39
GANESH CHANDRA,Bharatiya Janata Party,83013,228,83241,38.5,Dhanghata,314
SHANTI DEVI,Indian National Congress,1965,6,1971,0.91,Dhanghata,314
SANTOSH,Bahujan Samaj Party,40535,158,40693,18.82,Dhanghata,314
AMRIT KUMAR,Vikassheel Insaan Party,2265,1,2266,1.05,Dhanghata,314
ALAGU PRASAD,Suheldev Bharatiya Samaj Party,71965,723,72688,33.62,Dhanghata,314
KUSUM,Sarvjan Awaz Party,751,0,751,0.35,Dhanghata,314
GIRAJESH,Aam Aadmi Party,804,6,810,0.37,Dhanghata,314
NARENDRA DEV,Jan Adhikar Party,3958,2,3960,1.83,Dhanghata,314
BHAJURARAM URF BHAJURAM,Independent,1123,0,1123,0.52,Dhanghata,314
YASHAVANT,Independent,5424,9,5433,2.51,Dhanghata,314
LAUTAN PRASAD,Shoshit Samaj Dal,831,0,831,0.38,Dhanghata,314
HARILAL,Independent,539,1,540,0.25,Dhanghata,314
NOTA,None of the Above,1914,1,1915,0.89,Dhanghata,314
ASLAM ALI,Samajwadi Party,112132,268,112400,40.14,Dhaulana,58
DHARMESH SINGH TOMAR,Bharatiya Janata Party,124443,585,125028,44.65,Dhaulana,58
CHANDRA MOHAN,Aam Aadmi Party,666,7,673,0.24,Dhaulana,58
BASID,Bahujan Samaj Party,32873,126,32999,11.78,Dhaulana,58
BRIJESH KORI,Swatantra Jantaraj Party,166,0,166,0.06,Dhaulana,58
PRAMOD,Independent,553,1,554,0.2,Dhaulana,58
ARIF,All India Majlis-E-Ittehadul Muslimeen,3517,3,3520,1.26,Dhaulana,58
ARVIND SHARMA,Indian National Congress,2247,19,2266,0.81,Dhaulana,58
KULDEEP,Independent,598,2,600,0.21,Dhaulana,58
KEERTY PRATAP SINGH,Independent,413,1,414,0.15,Dhaulana,58
ASAMA,Independent,147,0,147,0.05,Dhaulana,58
NAZIM,Jan Adhikar Party,111,0,111,0.04,Dhaulana,58
TRIVEDI,Nagrik Chetna Party,185,0,185,0.07,Dhaulana,58
NOTA,None of the Above,948,2,950,0.34,Dhaulana,58
ANAND MOHAN URF DHEER MOHAN TRIVEDI,Bahujan Samaj Party,16096,26,16122,7.03,Dhaurahra,141
JITENDRI DEVI,Indian National Congress,1216,0,1216,0.53,Dhaurahra,141
VARUN SINGH,Samajwadi Party,88549,339,88888,38.76,Dhaurahra,141
VINOD SHANKAR,Bharatiya Janata Party,113403,95,113498,49.49,Dhaurahra,141
MULANDER KUMAR AWASTHI,Shiv Sena,2566,0,2566,1.12,Dhaurahra,141
ARVIND KUMAR,"Adarsh Janta Party,",932,0,932,0.41,Dhaurahra,141
MUKESH KUMAR,Independent,1159,0,1159,0.51,Dhaurahra,141
REKHA DEVI,Independent,1320,0,1320,0.58,Dhaurahra,141
VINOD KUMAR,Independent,1136,0,1136,0.5,Dhaurahra,141
NOTA,None of the Above,2478,0,2478,1.08,Dhaurahra,141
Arun Kumar Dubey (Lal Dubey),Bahujan Samaj Party,31352,148,31500,15.71,Dibiyapur,203
Pradeep Kumar Yadav,Samajwadi Party,80127,738,80865,40.34,Dibiyapur,203
Manoj Kumar,Indian National Congress,1521,9,1530,0.76,Dibiyapur,203
Lakhan Singh Rajput,Bharatiya Janata Party,80011,381,80392,40.1,Dibiyapur,203
Om Prakash Rajput,Jan Adhikar Party,2698,4,2702,1.35,Dibiyapur,203
Ankita Yadav,Aam Aadmi Party,570,4,574,0.29,Dibiyapur,203
Gopal Swaroop Gandhi,Kisan Majdoor Berojgar Sangh,233,1,234,0.12,Dibiyapur,203
Dhirendra Singh Gautam,Aazad Samaj Party (Kanshi Ram),342,3,345,0.17,Dibiyapur,203
Sadhana,Sabka Dal United,319,1,320,0.16,Dibiyapur,203
Ashrit Prakash Darshan,Independent,373,3,376,0.19,Dibiyapur,203
Lakhan Singh,Independent,686,3,689,0.34,Dibiyapur,203
NOTA,None of the Above,927,1,928,0.46,Dibiyapur,203
AWADHESH KUMAR SINGH,Indian National Congress,1713,4,1717,0.85,Didarganj,350
KAMALKANT,Samajwadi Party,73834,508,74342,36.99,Didarganj,350
KRISHNAMURARI,Bharatiya Janata Party,60620,161,60781,30.25,Didarganj,350
BHUPENDRA,Bahujan Samaj Party,46882,212,47094,23.43,Didarganj,350
ZAVED,All India Majlis-E-Ittehadul Muslimeen,2198,1,2199,1.09,Didarganj,350
JITENDRA,Bahujan Mukti Party,209,0,209,0.1,Didarganj,350
MAHENDRA PRASAD BIND,Peoples Party of India (Democratic),581,0,581,0.29,Didarganj,350
RASHMI VISHWAKARMA,Aam Aadmi Party,260,0,260,0.13,Didarganj,350
LALMAN YADAV,Sanatan Sanskriti Raksha Dal,390,0,390,0.19,Didarganj,350
HUZAIFA AMIR,Rashtriya Ulama Council,10068,2,10070,5.01,Didarganj,350
GULAB,Independent,416,1,417,0.21,Didarganj,350
JALALUDDIN,Independent,567,1,568,0.28,Didarganj,350
MOHAMMAD NADEEN KHAN,Independent,672,0,672,0.33,Didarganj,350
VIPENDRA,Independent,792,1,793,0.39,Didarganj,350
NOTA,None of the Above,863,1,864,0.43,Didarganj,350
ASHOK KUMAR TEWARI,Bahujan Samaj Party,20246,170,20416,9.88,Domariyaganj,306
KANTI,Indian National Congress,2446,7,2453,1.19,Domariyaganj,306
RAGHVENDRA PRATAP SINGH,Bharatiya Janata Party,84095,232,84327,40.82,Domariyaganj,306
SAIYADA KHATOON,Samajwadi Party,84586,512,85098,41.19,Domariyaganj,306
ABDUL HANNAN CHAUDHARY,Republican Bahujan Sena,826,1,827,0.4,Domariyaganj,306
Er. QAZI IMRAN LATEEF,Aam Aadmi Party,411,2,413,0.2,Domariyaganj,306
IRFAN AHMAD MALIK,All India Majlis-E-Ittehadul Muslimeen,4325,27,4352,2.11,Domariyaganj,306
PAWAN KUMAR,Janata Dal  (United),541,1,542,0.26,Domariyaganj,306
SHAILENDRA URF RAJU SRIVASTAV,Shiv Sena,3698,4,3702,1.79,Domariyaganj,306
SAILENDRA KUMAR,Bahujan Maha Party,398,0,398,0.19,Domariyaganj,306
RAJESH KUMAR AGRAHARI,Independent,1236,0,1236,0.6,Domariyaganj,306
RAM UGRH,Independent,978,2,980,0.47,Domariyaganj,306
SHIV KUMAR,Independent,718,0,718,0.35,Domariyaganj,306
NOTA,None of the Above,1123,1,1124,0.54,Domariyaganj,306
BASANTI PANIKA,Indian National Congress,4519,14,4533,2.22,Duddhi,403
RAMDULAR,Bharatiya Janata Party,84295,112,84407,41.28,Duddhi,403
VIJAY SINGH,Samajwadi Party,77572,538,78110,38.2,Duddhi,403
HARIRAM,Bahujan Samaj Party,23825,54,23879,11.68,Duddhi,403
ASHOK KUMAR,Jan Adhikar Party,1758,0,1758,0.86,Duddhi,403
KRIPASHANKAR,All India Peoples' Front (Radical),893,1,894,0.44,Duddhi,403
PUSHPA DEVI,Aam Aadmi Party,830,0,830,0.41,Duddhi,403
MISHRI LAL,Independent,1316,1,1317,0.64,Duddhi,403
RAMLAL,Independent,2129,3,2132,1.04,Duddhi,403
HRIDAY KUMAR,Independent,1852,1,1853,0.91,Duddhi,403
NOTA,None of the Above,4756,0,4756,2.33,Duddhi,403
Ajay Singh,Bahujan Samaj Party,26648,223,26871,12.77,Etah,104
Gunjan Mishra,Indian National Congress,1478,19,1497,0.71,Etah,104
Jugendra Singh Yadav,Samajwadi Party,79501,791,80292,38.15,Etah,104
Vipin kumar David,Bharatiya Janata Party,97059,480,97539,46.34,Etah,104
Umeshkant,Aam Aadmi Party,570,5,575,0.27,Etah,104
Mahipal,Voters Party  International,160,2,162,0.08,Etah,104
Roop kishor Shakya,Jan Adhikar Party,652,2,654,0.31,Etah,104
Omendra Singh,Independent,77,0,77,0.04,Etah,104
Durgesh Kumar,Independent,135,1,136,0.06,Etah,104
Ravendr Singh,Independent,187,0,187,0.09,Etah,104
Rajiv Kumar,Independent,111,0,111,0.05,Etah,104
Vijendr Singh,Independent,206,0,206,0.1,Etah,104
Satyaprakash,Independent,519,0,519,0.25,Etah,104
Sahab Singh,Independent,665,1,666,0.32,Etah,104
Sukhvendra Singh,Independent,218,0,218,0.1,Etah,104
NOTA,None of the Above,773,6,779,0.37,Etah,104
Kuldeep Gupta,Bahujan Samaj Party,46167,358,46525,18.95,Etawah,200
Mohd Rashid,Indian National Congress,1456,20,1476,0.6,Etawah,200
Sarita,Bharatiya Janata Party,97532,618,98150,39.97,Etawah,200
Sarvesh Kumar Shakya,Samajwadi Party,93255,911,94166,38.35,Etawah,200
Bobby,Jansatta Dal Loktantrik,628,1,629,0.26,Etawah,200
Shiv Pratap Singh,Aam Aadmi Party,393,6,399,0.16,Etawah,200
Shyam Singh,Sabka Dal United,312,2,314,0.13,Etawah,200
Satya Prakash,Jan Adhikar Party,1744,7,1751,0.71,Etawah,200
Partibha Shakya,Independent,343,3,346,0.14,Etawah,200
Manoj,Independent,352,1,353,0.14,Etawah,200
Sharad Bhadauriya,Independent,246,1,247,0.1,Etawah,200
NOTA,None of the Above,1182,4,1186,0.48,Etawah,200
DR. DHARMPAL SINGH,Bharatiya Janata Party,146273,330,146603,48.77,Etmadpur,86
PRAVAL PRATAP SINGH,Bahujan Samaj Party,98414,265,98679,32.83,Etmadpur,86
DR.VIRENDRA SINGH CHAUHAN,Samajwadi Party,48433,209,48642,16.18,Etmadpur,86
SHIVANIDEVI DEVI,Indian National Congress,1315,5,1320,0.44,Etmadpur,86
RAKESH KUMAR GUPTA,Rashtriya Vyapari Party,202,0,202,0.07,Etmadpur,86
VINOD SINGH,Peace Party,155,0,155,0.05,Etmadpur,86
SATISH,Bahujan Mukti Party,147,2,149,0.05,Etmadpur,86
SUNIL OJHA,Bharatiya Subhash Sena,162,0,162,0.05,Etmadpur,86
SUMIT SINGH,Aam Aadmi Party,270,2,272,0.09,Etmadpur,86
DR. ANIL KUMAR SINGH,Independent,108,0,108,0.04,Etmadpur,86
KAPIL GAUTAM,Independent,130,0,130,0.04,Etmadpur,86
MAHA VEER,Independent,225,0,225,0.07,Etmadpur,86
SHIV CHARAN LAL,Independent,826,0,826,0.27,Etmadpur,86
SHAILENDRA PAL SINGH,Independent,1223,1,1224,0.41,Etmadpur,86
NOTA,None of the Above,1888,3,1891,0.63,Etmadpur,86
VIJAY PAL SINGH,Samajwadi Party,88604,545,89149,43.78,Faridpur,122
VISHAL SAGAR,Indian National Congress,1737,7,1744,0.86,Faridpur,122
SHALINI SINGH,Bahujan Samaj Party,14434,44,14478,7.11,Faridpur,122
PROF. SHYAM BIHARI LAL,Bharatiya Janata Party,91855,215,92070,45.22,Faridpur,122
AMISH SAGAR,Lok Dal,1754,5,1759,0.86,Faridpur,122
ULFAT,Jan Seva Sahayak Party,226,0,226,0.11,Faridpur,122
JANAK PRASAD,Aam Aadmi Party,345,2,347,0.17,Faridpur,122
PREMPAL SAGAR,VANCHITSAMAJ INSAAF PARTY,169,0,169,0.08,Faridpur,122
SUSHIL KUMAR GAUTAM,Bahujan Mukti Party,359,0,359,0.18,Faridpur,122
MAHENDRA,Independent,837,0,837,0.41,Faridpur,122
PRIYANKA KUMARI,Independent,582,0,582,0.29,Faridpur,122
SUNEETA SINGH,Independent,355,0,355,0.17,Faridpur,122
NOTA,None of the Above,1529,3,1532,0.75,Faridpur,122
Louise Khurshid,Indian National Congress,2029,16,2045,0.98,Farrukhabad,194
Vijay Kumar Katiyar,Bahujan Samaj Party,16467,144,16611,7.96,Farrukhabad,194
Major Sunil Dutt Dwivedi,Bharatiya Janata Party,111767,547,112314,53.83,Farrukhabad,194
Suman Shakya,Samajwadi Party,72343,655,72998,34.99,Farrukhabad,194
Neeraj Pratap Shakya,Aam Aadmi Party,749,9,758,0.36,Farrukhabad,194
Rajesh Kumar Dixit,Bhartiya Shakti Chetna Party,170,2,172,0.08,Farrukhabad,194
Ruchi Singh Rajput,Jan Adhikar Party,1249,2,1251,0.6,Farrukhabad,194
Varun Ashok Saxena,Janata Dal  (United),167,1,168,0.08,Farrukhabad,194
Vikrant Singh,Swatantra Indian Labour Party,392,0,392,0.19,Farrukhabad,194
Krishan Kumar Tiwari,Independent,534,0,534,0.26,Farrukhabad,194
Dr. Bharat Chandra Gaur,Independent,459,2,461,0.22,Farrukhabad,194
NOTA,None of the Above,924,6,930,0.45,Farrukhabad,194
Chhotey Lal Verma,Bharatiya Janata Party,108577,234,108811,50.46,Fatehabad,93
Roopali Dixit,Samajwadi Party,55185,391,55576,25.77,Fatehabad,93
Shailendra Singh,Bahujan Samaj Party,40896,62,40958,18.99,Fatehabad,93
Hotam Singh Nishad,Indian National Congress,683,0,683,0.32,Fatehabad,93
Ajay Kumar,Log Party,217,0,217,0.1,Fatehabad,93
Pt. Dinesh Chand Sharma,Saman Adhikar Party,301,0,301,0.14,Fatehabad,93
Narendra Singh,Bhartiya Veer Dal,257,0,257,0.12,Fatehabad,93
Purushottam Das Fauzi Bhai,Aam Aadmi Party,248,2,250,0.12,Fatehabad,93
Rajesh Singh Kushwah,Jan Adhikar Party,3578,7,3585,1.66,Fatehabad,93
Vijay Singh Dhangar,Rashtriya Shoshit Samaj Party,266,1,267,0.12,Fatehabad,93
Pramod Kumari Kushwah,Independent,307,0,307,0.14,Fatehabad,93
Bhuri,Independent,611,0,611,0.28,Fatehabad,93
Mahinder Singh Verma,Independent,1331,0,1331,0.62,Fatehabad,93
NOTA,None of the Above,2471,1,2472,1.15,Fatehabad,93
AYUV AHMAD,Bahujan Samaj Party,20281,82,20363,9.51,Fatehpur,240
Chandra Prakash,Samajwadi Party,95708,1131,96839,45.24,Fatehpur,240
MOHSIN AHMAD,Indian National Congress,1798,5,1803,0.84,Fatehpur,240
VIKRAM SINGH,Bharatiya Janata Party,87724,514,88238,41.22,Fatehpur,240
AVINASH RAO,Peoples Party of India (Democratic),1247,2,1249,0.58,Fatehpur,240
PHOOL SINGH LODHI,Bahujan Mukti Party,307,3,310,0.14,Fatehpur,240
BRAJBHAAN,Aam Aadmi Party,375,1,376,0.18,Fatehpur,240
BHOLA SINGH,Jan Adhikar Party,470,1,471,0.22,Fatehpur,240
RATNA SINGH,Bhartiya Shakti Chetna Party,488,1,489,0.23,Fatehpur,240
VIMAL KUMAR,Apni Zindgi Apna Dal,674,1,675,0.32,Fatehpur,240
KULDEEP SINGH,Independent,1443,1,1444,0.67,Fatehpur,240
NOTA,None of the Above,1786,7,1793,0.84,Fatehpur,240
Babulal,Bharatiya Janata Party,111519,576,112095,46.14,FatehpurSikri,91
Brijesh Kumar,Rashtriya Lok Dal,64508,318,64826,26.69,FatehpurSikri,91
Mukesh Kumar,Bahujan Samaj Party,59530,111,59641,24.55,FatehpurSikri,91
Hemant Singh,Indian National Congress,1184,8,1192,0.49,FatehpurSikri,91
Jagdish,Aazad Samaj Party (Kanshi Ram),547,6,553,0.23,FatehpurSikri,91
Sangeeta,Bharatiya Majdoor Janta Party,397,2,399,0.16,FatehpurSikri,91
Hina Naz Sheravani,VANCHITSAMAJ INSAAF PARTY,443,5,448,0.18,FatehpurSikri,91
Dr.Kumrendra Singh,Independent,306,1,307,0.13,FatehpurSikri,91
Yogendra Singh Chahar,Independent,287,1,288,0.12,FatehpurSikri,91
Lekhraj,Independent,804,1,805,0.33,FatehpurSikri,91
Saurabh Singh Parmar,Independent,748,0,748,0.31,FatehpurSikri,91
NOTA,None of the Above,1616,4,1620,0.67,FatehpurSikri,91
Iliyas,Bahujan Samaj Party,28105,132,28237,12.56,Fazilnagar,332
Sunil Urf Manoj Singh,Indian National Congress,2314,9,2323,1.03,Fazilnagar,332
Surendra Kumar Kushwaha,Bharatiya Janata Party,115733,296,116029,51.61,Fazilnagar,332
Swami Prasad Maurya,Samajwadi Party,70153,862,71015,31.59,Fazilnagar,332
Vinai Prakash Srivastava,Independent,609,0,609,0.27,Fazilnagar,332
Sarvdev Lal,Jan Adhikar Party,345,1,346,0.15,Fazilnagar,332
Harishchandra Yadav,Aam Aadmi Party,226,6,232,0.1,Fazilnagar,332
